city	score
Alhambra	71
Anaheim	56
Baldwin Park	55
Bellflower	66
Buena Park	57
Burbank	71
Carson	55
Compton	65
Costa Mesa	65
Downey	61
East Los Angeles	75
El Monte	62
Fullerton	54
Garden Grove	62
Glendale	71
Hawthorne	72
Huntington Beach	56
Inglewood	73
Irvine	43
Lake Forest	41
Lakewood	58
Lancaster	29
Long Beach	73
Los Angeles	69
Lynwood	70
Mission Viejo	36
Newport Beach	49
Norwalk	61
Orange	51
Palmdale	24
Pasadena	69
Pomona	52
Redondo Beach	75
Santa Ana	67
Santa Clarita	35
Santa Monica	83
South Gate	70
Torrance	67
Tustin	51
Walnut Creek	41
West Covina	47
Westminster	65
Whittier	64
Yorba Linda	28
